reference,generated
යුක්රේන ජනාධිපති එරටින් පළා ගොස් ප්රහාරවලින් බේරී සිටීමට ඇමරිකාව උදව්,යුක්රේන ජනාධිපති එරටින්‌ පළා ගොස්‌ ප්රහාරවලින්‌ බේරී සිටීමට ඇමරිකාව උදව්‌
මේ අතර කොටහේනේ වෙඩි තැබීමේ සිද්ධියට සම්බන්ධ සැකකරුවන් පිළිබඳ තොරතුරක් ඇත්නම් ඒ පිළිබඳව දැනුම් දීමට,මේ අතර කොටහේනේ වෙඩි තැබීම්‌ සිද්ධියට සම්බන්ධ සැකකරුවන්‌ රිළිබඳ තොරතුරක්‌ ඇත්නම්‌ ඒ රිළිබඳව දැනුම්‌ දීමට
"අන්න ඒ වෙලාව වෙද්දි අපේ නැන්දම්මගෙ නෑයෙක්ට, නැත්තං යාලුවෙක්ට","අන්න එ වෙලාව වෙද්දි අපේ නැන්දම්මගෙ නෑයෙක්ට, නැන්තං යාලුවෙක්ට"
අපි ජෝඩු බලන්න බඹරැල්ල පහු කරලා ටික දුරක් ගිහින් අදාල තැනකට ආවත් එතනදි වැස්සා.,අපි ජෝඩු බලන්න බඹරැල්ල පහු කරලා ටික දුරක්‌ ගිහින්‌ අරල තැනකට ආවත්‌ එතනදි වැසසා.
ඉරාක් යුද්ධයෙන් මියගිය බ්රිතාන්යය සොල්දාදුවන්ගේ පවුල් වල සාමාජිකයන් ද චිල්කොට්,ඉරාක්‌ යුද්ධයෙන්‌ මියගිය බ්රිතාන්යය සොල්දාදුවන්ගේ පවුල්‌ වල සාමාජිකයන්‌ ද චිල්කොට්‌
ඔලුවලට ඇන ගසා දෙතිස් වද දී 60 දහසක් තරුණයන් මැරූ ආණ්ඩුවක් සහ එහි ප්රධාන,ඔලුවලට ඇන ගසා දෙතිස්‌ වද දී 60 දහසක්‌ තරුණයන්‌ මැරූ ආණ්ඩුවක්‌ සහ එහි ප්රධාන
අප අසා ඇත්තේ දවස ආරම්භ කිරීමේදී උදෑසනම ජලය පානය කිරීම ඉතා සෞඛ්යය සම්පන්න,අප අසා ඇත්තේ දවස ආරම්භ කිරීමේදී උදෑසනම ජලය පානය කිරීම ඉතා සෞඛ්යය සම්පන්න
"පිළිතුර:- එතුමා කිව්වා වෙච්ච හොරකම්, ගනුදෙනු ගැන. එතුමා මේවා වළක්වන්න","පිළිතුර:- එතුමා කිව්වා වෙච්ච හොරකම්‌, ගනුදෙනු ගැන. එතුමා මේවා වළක්වන්න"
සෞඛ්යය – පපුව ආශ්රිත සෙම් රෝග බහුල වනවා ඇත. ස්ත්රී පාර්ශවයේ,සෞඛ්යය -~ පපුව ආශ්රිත සෙමි රෝග බහුල වනවා ඇත. ස්ත්රී පාර්ශවයේ
එසේ තිබියදීත් ක්රීඩකයින් තමන්ගේ ජාතික වගකීම් වලින් නිදහස් කාලය වෙනත් කණ්ඩායමක් වෙනුවෙන ක්රිඩා කිරීම නිසා ඔහුට අදාල,ෆු: 01152] 21252 ර)0)710/1] 12] £(1)21£) £[:12) 10): ක) :)/5 (1) 2)21£)1/56)0] 00116) 21(16)] 2006) 1 0](] අරා
"කොළඹ සරසවියෙන් වෛද්ය විද්යා ප්රථම උපාධියත්, ස්කොට්ලන්තයේ දන්ඩී විශ්ව","කොළඹ සරසවියෙන්‌ වෛද්ය විද්යා ප්රථම උපාධියත්‌, ස්කොට්ලන්තයේ දන්ඩී විශ්ව"
"අද අත්අඩංගුවට ගත් සීනි තොගය, අධික මිලකට පාරිභෝගිකයා වෙත","අද අත්‌අඩංගුවට ගත්‌ සීනි තොගය, අධික මිලකට පාරිභෝගිකයා වෙත"
විල් සුදුමැලි වූයේය. ඔහු නිර්භීත අය අතර ද නිර්භීත බවින් වැඩි වූවෙකි.,විල්‌ සුදුමැලි වූයේය. ඔහු නිර්භීත අය අතර ද නිර්භීත බවින්‌ වැඩි වූවෙකි.
ශ්රී ලංකාවේ කණ්ඩායම් ගීත සංස්කෘතියේ ආරම්භකයා හෝ ආරම්භකයෙක් වූ නෙවිල් ප්රනාන්දු,ශ්රී ලංකාවේ කණ්ඩායම්‌ ගීත සංස්කෘතියේ ආරම්භකයා හෝ ආරම්භකයෙක්‌ වූ නෙවිලි පරනාන්දු
රන්ජා උඹ වැරදි නැහැ මේ සිස්ටම් එක සම්පූර්නයෙන් වැරදියි. ඒකයි බුද්ධිමත් තරුණයින් විතරක් අරගල,රන්ජා උඹ වැරදි නැහැ මේ සිස්ටම්‌ එක සම්පූර්නයෙන්‌ වැරදියි. ඒකයි බුද්ධිමත්‌ තරුණයින්‌ විතරක්‌ අරගල
"""හායි යාලුවෙනේ කොහොමද ඔයාලට..."" කියාගෙන ගොබ්බ විදිහට පටන් ගන්න බහුතරයක් ව්ලොග්ස්","""හායි යාලුවෙනේ කොහොමද ඔයාලට..."" කියාගෙන ගොබ්බ විදිහට පටන්‌ ගන්න බහුතරයක්‌ ව්ලොග්ස්‌"
"සියලු අයදුම්කරුවන්ගේ සුදුසුකම් හා දැනුම් හොදින් අද්යන කර, ඉතා සුදුසු රැකියා","සියලු අයදුම්කරුවන්ගේ සුදුසුකම්‌ හා දැනුම්‌ හොදින්‌ අද්යන කර, ඉතා සුදුසු රැකියා"
"රැග් කිරීම පිළිබඳ තවත් නීතියක් නම්, රැග් නොවූ අයෙකුට රැග්","රැග්‌ කිරීම පිළිබඳ තවත්‌ නීතියක්‌ නම්‌, රැග්‌ නොවූ අයෙකුට රැග්‌"
දූෂණය මුලිණුපුටා දමා සියලූ දූෂිතයින්ට නීතිය ක්රියාත්මක කිරීම අපේ ඒකාන්ත අරමුණයි. එය මේ රටේ,දූෂණය මුලිණුපුටා දමා සියලු දූෂිතයින්ට නීතිය ක්රියාත්මක කිරීම අපේ ඒකාන්ත අරමුණයි. එය මේ රටේ
වසර පහක් අවසානයේ දී එකවර කල්පිරීමේ කාලයක් සමඟ සකස් කර ඇති,වසර පහක්‌ අවසානයේ දී එකවර කල්පිරීමේ කාලයක්‌ සමඟ සකස්‌ කර ඇති
මොරගහකන්ද ජලාශය ඉදිවීමත් සමග තම කෘෂිකාර්මික කටයුතුවල නැවුම් පිබි`දීමක්,මොරගහකන්ද ජලාශය ඉදිවීමත්‌ සමග තම කෘෂිකාර්මික කටයුතුවල නැවුම්‌ පිබි[]දීමක්‌
".න්යෂ්ටික අත්හදාබැලීම්වලින් පසු දිනවලදී, පුවත්පත්වල පෙනුණේ 'හූ'",".න්යෂ්ටික අත්හදාබැලීම්වලින්‌ පසු දිනවලදී, පුවත්පත්වල පෙනුණේ 'හූ'"
ඉහත දත්ත අනුව පැහැදිලි වනුයේ ඉන්දියාවේ මිලියන නගර අතරින් ජන සංඛ්යාව,බආඞභ දුන්ඞ අනුව පැඞැද්ලි වනුයේ බන්දියාවේ මිලියන නර අනරින්‌ ජන සංඛයාව
"ඔව්, ඇත්තටම සුද්දි කියන්නේ අභියෝගයක්. සුද්දී කතාකරන විට සුද්දිට","ඔව්‌, ඇත්තටම සුද්දි කියන්නේ අභියෝගයක්‌. සුද්දී කතාකරන විට සුද්දිට"
මේ අතර ඩිලාන් පෙරේරා රාජ්ය ඇමැතිවරයා සහභාගි වන ප්රවෘත්ති සාකච්ඡාව,මේ අතර ඩිලාන්‌ පෙරේරා රාජ්ය ඇමැතිවරයා සහභාගි වන ප්රවෘත්ති සාකච්ඡාව
කෙසේ නමුත් නිරූපිකාවන්ට ඔවුන්ගේ ඡායාරූපවලදී හැඟීම් ප්රකාශ කිරීමට,කෙසේ නමුත්‌ නිරූපිකාවන්ට ඔවුන්ගේ ඡායාරූපවලදී හැඟීම්‌ ප්රකාශ කිරීමට
කුළුදුලේම මේ පැත්තට ආවා.ඔබේ ලියවිලි කියවලා බලන්න.,කුළුදුලේම මේ පැත්තට ආවා.ඔබේ ලියවිලි කියවලා බලන්න.
කොළඹ පැරණි ලන්දේසි රෝහල අසල දින කිහිපයක සිට කැළිකසල එකතු කර ගොඩගසා,කොළඹ පැරණි ලන්දේසි රෝහල අසල දින කිහිපයක සිට කැළිකසල එකතු කර ගොඩගසා
නව ප්රවණතාවයේ ආයුධ කිහිපයක් ගබඩා කරගෙන තිබුණේ ඔහු භාරකරු වූ,නව ප්රවණතාවයේ ආයුධ කිහිපයක්‌ ගබඩා කරගෙන තිබුණේ ඔහු භාරකරු වූ
දුර්වලයින් පරාජය හෝ ජයග්රහණය නොලබති. අපේ අලුත් පරම්පරාව,දුර්වලයින්‌ පරාජය හෝ ජයග්රහණය නොලබති. අපේ අලුන්‌ පරම්පරාව
අනේ චමුදිත උබේ යූටියුබ් එකේම මන් මීට කලින් හොද කීව. හැම තැනම,අනේ චමුදිත උබේ යූටියුබ්‌ එකේම මන්‌ මීට කලින්‌ හොද කීව. හැම තැනම
ජලයේ උෂ්ණත්වය වැඩිවීම සහ උත්සන්න වූ ආලෝක තත්ව හේතුවෙන් ඇතිවූ පරිසර පිඩාව නිසා නම් ඇල්ගී ඔක්සිජන්වලට,[90138 ලුෆ්ච]21£][5 £](2]61න 2501] ලන්සු] ද £:10[9151] ජෝ] 01510 ]2] £:/ 516] 2501 16] 105] ඒන £07/[11] ශෝක]
"ඔවුන් ද කඩිනමින් දිවයිනට ගෙන්වා ගැනීමට කටයුතු කරන ලෙස අමාත්යවරිය,","ඹවුන්‌ ද කඩිනමින්‌ දිවයිනට ගෙන්වා ගැනීමට කටයුතු කරන ලෙස අමාත්යටරිය,"
ඔහු තවමත් ජාතික වීරයෙක්. රාජ්‍ය සේවයෙන් විශ්‍රාම ගොස් අවුරුදු,ඔහු තවමත්‌ ජාතික වීරයෙක්‌. රාජ්‍ය සේවයෙන්‌ විශ්‍රාම ගොස්‌ අවුරුදු
මල්ලි එහෙම කිව්වට පස්සේ තමයි ඇගට ලේ ටිකක් ඉනුවේ. ඒ උනාට,මල්ලි එහෙම කිව්වට පස්සේ තමයි ඇගට ලේ ටිකක්‌ ඉනුවේ. ඒ උනාට
හික් හික්. එහෙනම් ඒ රිමෝට් එකෙන් ආපහු චැනල් මාරු කරලා ඉවරයි. මොකද,හික්‌ හික්‌. එහෙනම්‌ ඒ රිමෝට්‌ එකෙන්‌ ආපහු චැනල්‌ මාරු කරලා ඉවරයි. මොකද
හොදට තියන තැනකට ඇවිත් බෙට්ටක් (සමහර වෙලාවට ලින්ක් එකක්) දාලාගියාම,6ඞොදුට තියන නැනකට ඇචින්‌ බෙ00ක්‌ (සිමඞර වෙලාවට ලින්ක්‌ එකක්‌) දාලාගියා$
"යාපා පටුනේ සංචාරේ . [පළමු කොටස] - අද කිලිනොච්චි ,පරන්තන්,අලිමංකඩ,නල්ලූර් අපේ ගමන් මග","යාරා රටුනේ සංචාරේ . [රළමු කොටස] - අද කිලිනොච්චි ,ඊරන්තන්‌,අලිමංකඩ,නල්ලූර්‌ අරේ ගමන්‌ මග"
අරක්කු ගැන කතා නොකර මේ සැර බීම අනිත් ඒවා ගැන කතා කරන්න,අරක්කූ ගැන කතා නොකර මේ සැර බීම අනිත්‌ ඒවා ගැන කතා කරන්න
"එම යන්ත්ර මගින් තමන්ට අවශ්ය පමණ කොන්ඩම් ලබාගත හැකි බවත්, ඊට කිසිදු මුදලක් වැය නොවන බවත්","නු] [59110] 2][012] නවන] (11015 එව! 051101£1ස] [011111]5] 1]/5) 1], 1] ස1£3ළු සුද්[9ස] £1/[5 01112] 11"
ඉන්දියාවේ කැලිකට් වරාය වෙත ගමන් කිරීමේ අරමුණින් ෂෙන් හේ ගේ නායකත්වයෙන් යුතුව වසර,ඉන්දියාවෙ කැලිකට වරාය වෙත ගමන්‌ කිරීමෙ අරමුණින්‌ ෂෙන්‌ හේ ගේ නායකත්වයෙන්‌ යුතුව වසර
කිරිවෙහෙර විහාරාධිපති කොබවක ධම්මින්ද හිමියන්ට වෙඩි තැබීමේ සිද්ධියට සම්බන්ධ කතරගම ප්රදේශයේ,කිරිවෙහෙර විහාරාධිපති කොබවක ධම්මින්ද හිමියන්ට වෙඩි තැබීමේ සිද්ධියට සම්බන්ධ කතරගම ප්රදේශයේ
"ගොඩක් ස්තුතියි, සමාවෙන්න මම ඒ වැරැද්ද හදන්නම්. නිවැරදි වචනය වෙන්න ඕනේ දණ්ඩ","ගොඩක්‌ ස්තුතියි, සමාවෙන්න මම ඒ වැරැද්ද හදන්නම්‌. නිවැරදි වචනය වෙන්න ඕනේ දණ්ඩ"
හිටපු ඉන්දීය නායකයෙකු වන සුනිල් ගවස්කාර් ශ්රී ලංකා කණ්ඩායමට,හිටපු ඉන්දීය නායකයෙකු වන සුනිල්‌ ගවස්කාර්‌ ශ්රී ලංකා කණ්ඩායමට
සංක්රමණිකයන්ගේ සෞඛ්ය සම්බන්ධයෙන් විශේෂ වැඩසටහනක් මෙරට ක්රියාත්මක කරන්නට ද ඉදිරියේදි,සිංක්්‍රරමණිකයන්‌ගේ සෞඛ්ය සම්බන්ධයෙන්‌ විශේෂි වැඩසටහනක්‌ මෙරට ක්රියාත්මක කරන්නට ද ඉදිරියේදී
මේ හේතුවෙන් ඡන්ද ව්යාපාරය ආරම්භයේ සිට ම ජවිපෙට දැඩි මර්දනයකට මුහුණ දීමට සිදු වන ලකුණු පහළ වී,මෙ හේතුවෙන්‌ ඡන්ද වයාපාරය ආරමභයේ සිට ම ජවිපෙට දැඩි මරදනයකට මුහුණ දීමට සිදු වන ලකුණු පහළ වී
කෙමෙන් වෙනස් වෙන කොළඹ හැඩය. - මම අරගත්තු පින්තූරය. වෙලාව,කෙමෙන්‌ වෙනඝ වෙන කොළඹ හැඩය. - මම අරගත්තු පින්තුරය. වෙලාව
2011 වසරේදී නව ගරු කොන්සල් ජෙනරාල් වශයෙන් පත්වූ අබ්දුල් රහීම් මැතිතුමා ගෙන් දහම්,2011 වසරේදී නව ගරු කොන්සල්‌ ජෙනරාල්‌ වශයෙන්‌ පත්වූ අබ්දුල්‌ රහීම්‌ මැතිතුමා ගෙන්‌ දහම්‌
හරිම ලස්සන හරවත් වැඩසටනක්.ජීවිතයෙදි එහෙන් මෙහෙන් වදින ගල් එකතුකර සත්මහල්,හරිම ලස්සන හරවත්‌ වැඩසටනක්‌.ජීවිතයෙදි එහෙන්‌ මෙහෙන්‌ වදින ගලි එකතුකර සත්මහල්‌
බුදු අම්මේ ඒ පාරවල්වල යන්න එච්චර අමාරුද? පාරවල් වෙනස් වෙලා කියපු එක නම් ඒ,බුදු අම්මේ ඒ පාරවලිවල යන්න එච්චර අමාරුද? පාරවල්‌ වෙනස වෙලා කියපු එක නම්‌ එ
/ අභිරහස් / ක්රියාදාම / ත්රාස්යජනක / නාට්යමය / විද්යා ප්රබන්ධ / වීරක්රම / (2014),/ අභිරහස්‌ / ක්රියාදාම / ත්රාස්යජනක / නාට්යමය / විද්යා ප්රබන්ධ / වීරක්රම / (2014)
ලංකාදීපයේ තරිඳු ජයවර්ධන විසින් කළ තොරතුරු ඉල්ලීමකට අනුව මේ සිසුන් දෙදෙනාගේ මරණ,ලංකාදීරියේ තරිඳු ජයවර්ධන ටිසින්‌ කළ තොරතුරු ඉල්ලීමකට අනුව මේ සිසුන්‌ දෙදෙනාගේ මරණ
මේ කාටවත් දොස් පවරන්න ලියූ ලියැවිල්ලක් නොවෙයි. ළඳ බොළඳ ගෑල්ලමයින්ට,මේ කාටවත්‌ දොස්‌ පවරන්න ලියූ ලියැවිල්ලික්‌ නොවෙයි. ළඳ බොළඳ ගෑල්ලමයින්ට
මගෙන් යාළුවෙක් අහපු ප්රශ්ණයකටයි මම මේක දාන්න,මගෙන්‌ යාළුවෙක්‌ අහපු ප්රශ්ණයකටයි මම මේක දාන්න
පොලිස් මාධ්ය ප්රකාශක කාර්යාලය සඳහන් කළේ ඊයේ රාත්රියේ වෙසක්සිරි නරඹා,පොලිස්‌ මාධ්ය ප්රකාශක කාර්යාලය සඳහන්‌ කළේ ඊයේ රාත්රියේ වෙසක්සිරි නරඹා
ඔබ තුමා දෙවියෙක් නමුත් මෙවැනි අවස්ථාවක නීතිය ක්‍රියාත්මක කිරීමේදී සැලකිලිමත්,ඔබ තුමා දෙවියෙක්‌ නමුත්‌ මෙවැනි අවසිථාවක නීතිය ක්‍රියාත්මක කිරීමේදී සැලකිලිමත්‌
ජැක්සන් මහත්මයා කියන්නෙ මං ගොඩක් ආදරේ කරන චරිතයක්.ඔහු කරන,ජැක්සන්‌ මහත්මයා කියන්නෙ මං ගොඩක්‌ ආදරේ කරන චරිතයක්‌.ඔහු කරන
2017/11/17 රාත්රියේ ගාල්ල ගිංතොට මුස්ලීම් ජනතාව ඉලක්ක කරගෙන සිංහල ජාතිවාදී,2017/11/17 රාත්රියේ ගාලිල ගිංතොට මුස්ලීම්‌ ජනතාව ඉලක්ක කරගෙන සිංහල ජාතිවාදී
අර එකේ වෙන්නේ අපි අපේ ම කම්පිටන්සි එක දිහා ඕනවාටත් වඩා,අර එකේ වෙන්නේ අපි අපේ ම කම්පිටන්සි එක දිහා ඕනවාටත්‌ වඩා
ඔබ 'පැවසුවේ මහාවංශයේ සංශෝධනයක් ගැන නො'වේනම් ගැටළු බොහෝ දුරට ලිහුණා වේ. අපේ සටන්,"1111 14155 514 8 5]*11,්‌ |8 8.5 85.8 538 5 8.14 1822185)7118 1142151214 51:42:15] 01.14 සු [[:4 0 5111 51511 කසී [ක්‌ 0 03*1| 21110 5115 115 [09 55)එී7:1,"
කොටි වන්දන්නා කිරීම ඇයගේ පවුද්ගලික කටයුත්තක්. නමුත් 2009 සිට 2015 දක්වා,කොට වඞ්දුන්නා බර ඇයේ පවුද්ගලික කටයුන්නක්‌. නඉුන්‌ 2009 සිට 2015 දුඛ්වා
අයියේ කියන්න වචන නෑ මේකේ වටිනාකම.. ඔයා අනිත් ඔක්කොම නවත්තලා දාලා මේකම,අයියේ කියන්න වචන නෑ මේකේ වටිනාකම.. ඔයා අනිත්‌ ඔක්කොම නවත්තලා දාලා මේකම
එමෙන්ම මෙම ගුවන්විදුලි පර්යේෂණ ව්යාපෘතියෙහි දී ලබාගත් ප්රතිපල ග්රන්ථ 04 ක් සහ පර්යේෂණ ලිපි,එමෙන්ම මෙම ගුවන්විදුලි පර්යේෂණ ව්යාපෘතියෙහි දී ලබාගත්‌ ප්‍රතිපල ග්රන්ථ 04 ක්‌ සහ පර්යේෂණ ලිපි
"හරීන්ද්‍ර, ඔබ කොහොමත් ලස්සන වැදගත් වැඩසටහන් කරන කෙනෙක්. මේ","හරීන්ද්‍ර, ඔබ කොහොමත්‌ ලස්සන වැදගත්‌ වැඩසටහන්‌ කරන කෙනෙක්‌. මේ"
අපිට ලංකාවේදී හමු වන්නේ ළමයින් කන්න ආසා කරන දේවල් පමණක් කන්නට,අපිට ලංකාවේදී හමු වන්නේ ළමයින්‌ කන්න ආසා කරන දේවල්‌ පමණක්‌ කන්නට
"එහිදී කසක්ස්ථානය, ජර්මනිය, ඉන්දියාව සහ චීනය දිවයිනට වැඩියෙන්ම","එහිදී කසක්ස්ථානය, ජර්මනිය, ඉන්දියාව සහ චීනය දිවයිනට වැඩියෙන්ම"
ප්රකාශයක් ලබාදීමට හම්බන්තොට පොලිසියට පැමිණ සිටිය දී අත්අඩංගුවට ගත්,ප්රකාශයක්‌ ලබාදීමට හම්බන්තොට පොලිසියට පැමිණ සිටිය දී අත්‌අඩංගුවට ගත්‌
උඹේ කවියෙන් ලස්සන අදහස් ටිකක් මතුවෙන හින්දා තමයි මටත් මේක ලියන්න හිතුනේ.,උඹේ කවියෙන්‌ ලස්සන අදහස්‌ ටිකක්‌ මතුවෙන හින්දා තමයි මටත්‌ මේක ලියන්න හිතුනේ.
කොරියානු රැකියා සඳහා ගිවිසුම් හිමි වූ තවත් ශ්රී ලාංකිකයින් 110 දෙනෙකු,කොරියානු රැකියා සඳහා ගිවිසුම්‌ හිමි වූ තවත්‌ ශ්රී ලාංකිකයින්‌ 110 දෙනෙකු
මලියදේව විදුහල කඩුලු 3 කට ලකුණු 141 (පන්දුවාර 33.1):,මලියදේව විදුහල කඩුලු 3 කට ලකුණු 141 (පන්දුවාර 33.1):
මෙසේ කියා වෛද්ය රුවන් කියන්නට හදන්නේ ------ සමලිංගිකත්වය වනාහි යළිත් වහ වහා අප,මෙසේ කියා වෛද්ය රුවන්‌ කියන්නට හදන්නේ ------ සමලිංගිකත්වය වනාහි යළිත්‌ වහ වහා අප
"""මේ සෙල්ලම එක්තරා දුරකට ලෙල්ලමක් වගෙයි මට දැනුණේ"" - පුතාගේ උපන්දිනය","""මේ සෙල්ලම එක්තරා දුරකට ලෙල්ලමක්‌ වගෙයි මට දැනුණේ"" - පුතාගේ උපන්දිනය"
තව ටිකක් ඔයාලා සතුටින් ජීවිතේ විදින හැටි දවස ගානෙ දාන්න. කුහක,තව ටිකක්‌ ඔයාලා සතුටින්‌ ජීවිතේ විදින හැටි දවස ගානෙ දාන්න. කුහක
කමෙන්ට් එක ලියන්න හිටියෙ වැඩසටහන අවසන් වෙනකම් බලාගෙන,කමෙන්ට්‌ එක ලියන්න හිටියෙ වැඩසටහන අවසන්‌ වෙනකම්‌ බලාගෙන
"ආයුබෝවන් අයියේ මේකත් ලස්සනම ලස්සන සංචාරයක්..පැල්කොටේ,ගව පට්ටිය, ඒ නැවුම් කිරි, මී හරක් ඒවා","ආයුබෝවන්‌ අයියේ මෙකත්‌ ලස්සනම ලස්සන සංචාරයක්‌..පැල්කොටෙ,ගව පටටිය, ඒ නැවුම්‌ කිරි, මී හරක්‌ ඒවා"
"ජා-ඇළ, වත්තල, මීගමුව සහ කටාන යන ප්රාදේශීය ලේකම්","ජා-ඇළ, වත්තල, මීගමුව සහ කටාන යන ප්රාදේශීය ලේකම්‌"
එබඳු සේවාවකට කැප වූ මිනිසෙකුට සතුරා මෙල්ල කර ගැනීමට යෙදිය යුතු කවර,එබඳු සේවාවකට කැප වූ මිනිසෙකූට සතුරා මෙල්ල කර ගැනීමට යෙදිය යුතු කවර
පිවිතුරු ආදරය කියන්නේ නම් මහ පුදුමාකාර බැඳීමක්. පෘතග්ජනයෙක් විදියට,පිවිතුරු ආදරය කියන්නේ නම්‌ මහ පුදුමාකාර බැඳීමක්‌. පෘතග්ජනයෙක්‌ විදියට
ඔන්න මාත් මකුලු පැංචි පස්සේ වැටුනා. දිගටම එන්නයි බලාපොරොත්තුව. කමක් නැද්ද,ඔන්න මාත්‌ මකුලු පැංචි පස්සේ වැටුනා. දිගටම එන්නයි බලාපොරොත්තුව. කමක්‌ නැද්ද
හැටේ දශකය අග භාගයේ දී විතර ගුවන් විදුලියෙන් බොහොම අපූරු නැවුම් ගී හඬවල් තුනක්,හැටේ දශකය අග හාලයේ දී විතර ගුවන්‌ ටදුලියෙන්‌ බොෆොම අරූරු නැටරුමි ගී හඬවලි තුනක්‌
ජොහැන්නස් කේප්ලර් උපත ලැබුවේ ක්රිස්තු වර්ෂ 1571 දෙසැම්බර්,ජොහැන්නස්‌ කේප්ලර්‌ උපත ලැබුවේ ක්රිස්තු වර්ෂ 1571 දෙසැම්බර්‌
"""ඒක නම් ඇත්ත තමා. මම මේ අක්කට කිව්වේ අයියේ හෙට ඉරිදා නිසා අද ඉඳලා යන්න බැරියැ","""ඒක නම්‌ ඇත්ත තමා. මම මේ අක්කට කිව්වේ අයියේ හෙට ඉරිදා නිසා අද ඉඳලා යන්න බැරියැ"
ඒකාබද්ධ විපක්ෂයේ මන්ත්රීවරයෙක් පවසා තිබුණා ඔහු පිළිගන්නේ මහින්ද රාජපක්ෂගේ නායකත්වය පමණයි කියා.,[]විකාබද්ධ විරක්ෂයේ මන්ත්‍රීවරයෙක්‌ පවසා තිබුණා ඔහු පිළිගන්නේ මගින්ද රාජපක්ෂගේ නායකත්වය පමණයි කියා.
කියන්න වචන නෑ අවාරේ සිරිපා කරුණාව ගැන දැකපු ලස්සනම එක.අත්තටම,කියන්න වචන නෑ අවාරේ සිරිපා කරුණාව ගැන දැකපු ලස්සනම එක.අත්තටම
මට හමු වූ හොඳම ගුරුවරයකු වූ ද අපේ කාලයේ විශිෂ්ටතම පුරාවිද්යාඥයා වූ ද මහාචාර්ය,මට හමු වූ හොඳම ගුරුවරයකු වූ ද අපේ කාලයේ විශිෂ්ටතම පුරාවිද්යාඥයා දූ දු මහාචාර්ය
