reference,generated
அவர் சம்மசனத்தவரம்பகறர் ஆனல்அவரடயத சகதரரன்பள்ளகள்அவரடய வழயல்நற்கறர்கள்,அவர் சமமசனத்தவரம்பகற்ற ஆனலஅவர்டயத் சகதரரன்பள்ளகளஅவர்டய வழயல்நறகற்கள்
இதச ய்தமடக்கநமக்க மன்றமண நரம ம் நமடங்களம்உள்ளன,இதச யதமடக்கநமக்க மன்றமண நரம் ம நமடங்களம்உள்ளன
கட்டமற்றம்நன்ஏற்கனவ தட்டங்களத் தயரத்தக்கண்டரக்கறன்,டமற்றம்நனஏற்கனவ தட்டங்களத் தயரத்தக்கண்டர்க்கறன
அமரக்கஏழவதகடற்பட யலரந்த பர்க்கப்பல்களஅன ப்பபதலள த்தத,அமர்க்களழ்வதகடற்பட யலர்ந்த பரக்கப்பலகள்அன் பயப்பதல்ள தத்த
அவன் பறந்தவக நட்களகவல்ல அவன் வத்தயசமகஇரப்பதநன்உணர்வதற்க,அவன பறந்தவக நடகளகவலல் அவன வததயசமகஇரப்பத்தன்உணரவதற்க
கர்டயம்நனம் உங்கள் டரய்லரகன்றலரந்தஇழக்கப்பக றம்,கரடயமநனம் உங்கள் டரயலர்கன்றலரந்தஇழக்கப்பக றம
வய்வழபல யல்பலத்கரம்சய்தவன தனமம்நன வவக்கண மன,வயவழபல் யல்பலத்தரமசயதவன் தனமமநன் வவக்கண் மன
நம்அமயம்சலவ சதவீதம் எங்கள் நரம்அரங்கட்சயகங்கள்,நமஅமயமசலவ சதவதம் எங்கள் நரமஅரங்கடசயகங்கள்
நீங்க இப்பதஅந்தபலீஸ்கரங்கள நறத்தப்பறீங்கள,நீங்க இப்பதஅந்தபல்ஸ்கரங்கள நறத்தப்பற்ங்கள
நன்அவர்களதனப்பட்டமறயல் ஒரநண்பரக மதக்கவரம்பக றன்,நனஅவர்களதனப்பட்டமற்யல் ஒருண்பரக மதககவரம்பக றன
இவ்வளவபணக்கரரகஇரப்பதஎப்படஎன்றஎனக்க ஆச்சர யமகஇரக்கறத,இவ்வளவபணக்கரரக.இரப்பதஎப்பட என்றஎனக்க ஆச்சர யமக.இரக்கறத
நன்த ரயம் என்ற டனஒர பரச்சனபதநம்நடகர்கள்அவள்,நனத் ரயம் என்ற டனஒர் பரச்சனபதநமநடகர்களஅவள்
மக்கள் நன்மதகர வகவம்கண்கள் வண்டம் சல்லஒரகரணம்இரக்கறத,மக்கள் நனமதகர வகவமகணகள் வண்டம் சலல்ஒரகரணமஇர்க்கறத
நட்வர்க்கஅணக யஅனத்த வரந்தனர்களன்பன்னணசதனகள்,நடவர்க்கஅணக யஅனதத வரந்தனர்கள் பன்னண்சதன்கள
அந்த நரத்தல்நங்கள்எடத்தநடவடக்கதன் ஒரதலவரத்தர்ந்தடப்பத,அந்த நரத்தலநங்கள்ளடத்தநடவடக்கதன் ஒரதலவரத்தரந்தடப்பத
உன் நரயீரலல்இரக்கம்கற்ற நீ வளயவட்டவடவண்டம் இல்லஎன்றல்,உன் நரயீரலல்இரக்கம்கற்ற நீ வளயவட்டவடவண்டம் இல்லஎன்றல்
மற்றம்எனக்கஒரஅவமனம் அனத்தகர க்கர்கள்அவமத ப்பதபல்உள்ளத,²
அவர் என்னக லசய்யவரம்ப னர் ஆனல்நன்அவளபரட்ட னன்,அவர் என்னக் லசயயவரம்ப னர் ஆனலநன்அவளபரட்ட னன
நீ எப்படஉணர்றன்னசல்லணம்ன நனச்ச நல்லரக்கம்,ந் எப்பட்டணர்றன்னசல்லண்மன நனசச நலலரக்கம்
ஆண்டனவடன்தகவல்தடர்பகள நறவவதற்கனஒரசற யஅம ப்ப,ஆண்டனவடனதகவலதடர்பகள் நறவவதற்கனஒரசற யஅம் பப
இன்னம் நம டங்களல் ஹப்பர்ல ஞ்ச்சய்யப்படம்எனநனக்கற ன்,இனனம் நம் டங்களல் வறப்பரல் ஞசசயயப்படம்எனநனக்கற ன
நம்தடமறவதநறத்தலம் ஆனல்நீங்கள்அத கநரத்தபறவண்ட ம்,நமதடமறவதநறத்தலம் ஆனலநங்கள்அத் கநரத்தபறவண்ட ம
அவள் அவனடம்ச ல்கறள் அந்த வயல்கள்எட த்தக்கள்ள,அவள அவனடமச லகறவ அந்த வயலகளவட ததககளை
இன்னக்கநீங்கஅங்கதண்ணீர்லபகம்பத ஜக்கரதயஇரப்பீங்கஇல்ல,இன்னக்கநீங்கஅங்கதண்ணீர்லபகம்பத ஜக்கரதயஇரப்பீங்கஇல்ல
நன்என்இரட்டச்சகதர அதஎன்னஇங்கத ன்என்றமகவம் அதர்ஷ்டசல மற்றம்உணர்கறன்,நன்என்இரட்டச்சகதர அதஎன்னஇங்கத ன்என்றமகவம் அதர்ஷ்டசல மற்றம்உணர்கள்
உங்கள் வீடகளக்கத்தரம்பங்கள் உங்கள் கடம்பங்களமட,டங்கள் விடகளக்கதரம்பங்கள் உங்கள் கடம்பங்களமி
உங்கள் ஸ்லீவ் வரச லஷக்ஸ்பயர்தந்தரங்களநீங்கள்ப ற்றள்ளீர்கள்என்றநன்நம்ப கறன்,உங்கள் ஸல்வ வரச லஷ்கஸ்பயரதந்தரங்களந்ங்கள்
தடர்ந்தஅம ரக்கப்படகள தரம்பப்பற்றக்கண்டரக்கன்றத,டர்ந்தஅம் ரக்கப்படகள் தரமபபப்பற்றக்கண்டர்க்கன்றத
அதஒரஇரகசயமகவத்தரப்பதகஅவர்எங்களக்கக்கற னர்,அதனரஇர்கசயம்கவததரப்பதகஅவர்ளங்களக்கக்கற னர
மற்றம்ப யல்சதங்கள்பற்ற ய வவரங்கள்வந்தகண்டஇரக்கன்றன,மற்றம் யலச்தங்களபற்ற ய வவரங்களவந்தகண்டஇர்க்கன்றன
நீங்கள் எதப்பற்றபசக றீர்கள்என்றஎனக்கத்த ரயவல்ல,ந்ஙகள எதப்பற்றபசக றர்கள்ன்றஎனக்கத்த ரயவல்ல
என் மனவஒர மத்தஉள்ளத என் உள்ள அறமகம்சய்யமற்கத்தயமகவம்,என மனவுலி மக்களவை என உள்ள அறிமகமசயயம்றக்குதயம்கவம்
சல்வரஜ்அல வலகத்தல்கத்த ரக்கறத பலீஸ்மற்பர்வயளர்என்பவரன்,சலவரஜஅல் வலகததலகதத ரககறத பல்ஸமற்பரவயளர்என்பவரன்
எனக்கச க்பீஸலபடம்படறவயசஇல்லன்ன என் அம்மச ல்றங்க,எனக்கச கப்ஸலபடம்படறவயச்இல்லன்ன என அம்மச ல்றுங்க
நன்நீண்டநரம்இரக்கமட்டன் அவள்தங்க க்கண்டரப்பள் அவள் கடஅங்கஇரப்பதநீங்கள்மறந்தவடலம்,நன்நீண்டநரம்இரக்கமட்டன் அவள்தங்க க்கண்டரப்பள் அவள் கடஅங்கஇரப்பதநீங்கள்மறந்தவடலம்
பரம்பகழம்வணம்ன எந்தத்தட யம் பதயல்இல்லமபர்த்தக்கணம்,பரமபகழமவணமன எந்தததட யம் பதயலஇல்லம்பர்த்தக்கணம்
ஆனல்நீங்கள்ஜம்பஸ்எல்லம்எங்கரந்தவரகறீர்கள்,ஆனல்நீங்கள்ஜம்பஸ்எல்லம்எங்கரந்தவரகறிர்கள்
அதனல்ந ன்வய தறக்கம் பதல்லம்அம்பலயடம்பசறன்,அதனலிந் னவய தற்ககம் பதல்லம்அம்பலயட்மப்சர்ன
உங்கள் மரமகள்ஒரகலஞர்என்ற என்னடம்ச ல்லவல்ல,உங்கள் மர்மகளஒர்கலஞர்கன்ற என்னடமச லலவலல
இன்னம்அவர்கள்அட வனத்தல்நமக்க மன்னரம அளத்தனர்,இனனமஅவர்களஅட வனதத்தலநமக்க மன்னரம் அளத்தனர
இந்த சறயமற்றம்தன் பகறன்எங்களக்க ஆண்டகளக்கசலவகம்,இந்த சறயமற்றமதன் பகற்னளங்களகக் ஆண்டகளகக்கலவகம
கல்லரகளன்மனத்தக்கல்களடன்அவர் நளநீதமன்றத்தற்கசல்வர்,கல்லர்களை மனதத்தக்கலகளடன் நளந்தமன்றத்தற்கசலவர
இல்ல ந ன்உண்மயல்அவர்கள்கட்டன் கவர்ச்சகரமனவ,இல் ந னஉணமயலஅவர்களகட்டன கவரசசகரமனவ
ஆம்பலன்ஸ்வரஒர மணந ரமக ம் வய்னடம்ரண்டவழஇரந்தத,ஆம்பலன்ஸ்வரஒர் மணந் ரமக ம வயனடமரணடவழுஇரந்தது
ஆனல்ப க்தத் நீங்கள்பர்ப ன்னர்ஒரபர்க்கங்கடயல்கறனர்,ஆனல்ப க்தத் நீங்கள்பர்ப ன்னர்ஒரபர்க்கங்கடயல்கறனர்
என் கணவர் ஏன் கல்லப்பட்டர்என்பதஎனக்கத்தரயத,என கணவர் ஏன கல்லப்பட்டர்என்பத்எனக்கத்தரயத்
இல்ல என்கழ ப்படத்தல்நீங்கள்என்னசய்கறீர்கள்,இல்ல என்கழ ப்படத்தல்நீங்கள்என்னசய்கறீர்கள்
என் மனவ ஜய அதடஆபத்தத ரஞ்சலம் என் மடவஆதரச்ச,என மனவு ஜய அதி ஆபத்தத் ரஞ்சலம் என மடவஆதரசச்
சர உங்கள்நம்பக்கவலவகஇரந்தத ஆனல்உங்களக்கஆதரம் தவ,சர உங்கள்நம்பக்கவலவகஇரந்தத ஆனல்உங்களக்கஆதரம் தவ
நான் என்னுடைய இரண்டு நண்பர்கள் கொண்டுவர விரும்புகிறேன்,நான் என்னுடைய இரண்டு நண்பர்கள் கொண்டுவர விரும்புகிறேன்
ஆனல்நம்மதகவலஇன்ன ம் அதகசத்தம்பட்டசல்கற ர்கள்,ஆனலநமமதகவலஇன்ன ம் அதகசத்தம்பட்டசல்கற ர்கள்
அமதக்கனஇந்தஅழப்பஏற்ற உங்களடபச க்கண்ட ரக்கயல்,அமதக்கனஇந்தஅழபபஏற்ற உங்களடபச ககண்ட ரக்கயல
வயபரத்தமறந்தவட அவர்கள் இரவரம்அன த்தலம்பங்கள கள்,வயபரததமறந்தவட அவர்கள் இரவரமஅன ததலம்பங்கள் கள்
ஆனல்ப ளரடவல்கடற்கர இல்லத ஒரநகரத்தத்தர்ந்தடத்தரக்கறய்,ஆனல்ப ளரடவல்கடற்கர இல்லத ஒரநகரத்தத்தரந்தடததரகக்கிய
இவ்வளவம க்கயமகஇரந்தம்நீங்கள் இதசரசய்தகள்ளதத எவ்வளவ,இவ்வளவம க்கயமக.இரந்தம்நீங்கள் இதசரசய்தகள்ளதத எவ்வளவ
என்னடம்ச லவண்கப்பல்கள்இரக்கன்றன மதவகபறப்பவ,என்னடமச லவணகப்பலகளஇரக்கனறன மதவகபறப்பவ
நீங்கள் படபயங்கரத்தவள வக்கம்சலமலம் கண்டபடக்கபகறம்,
அதனல்தன்மற்றகழந்தகளநறயஇந்த நட்கள ல்உட த்த,அதனல்தன்மற்றகழந்தகளநறயஇந்த நட்கள ல்உட த்த
ஜயன்ப லவன்தயர் ஐந்தகழந்தகளக்கண்டரந்தர் அவர்கள் அனவரம்பண்கள்,ஜயனப லவனதயர ஐந்தகழநத்தகளக்கண்டரந்தர அவர்கள் அனவரம்பணக்க
நான் உங்கள் இறப்பை ஏற்க்காவிட்டாலும் உங்களை தொந்தரவு செய்ய விரும்பவில்லை,நான உங்கள் இறப்பை ஏற்கதாவிட்டாலும் உங்களை தொந்தரவு செய்ய விரும்பவில்லை
பத்தகக்கடயல்சல்லப்பரண தத்தடக்கம்சவய ஆரம்பக்கலம்,பத்தக்கடயல்சல்லப்பரண தததடக்கம்சவய ஆரம்பக்கலம்
கமடட்சவன்உணர்ச்சஅதர்வஉணரநீங்கள்அதககவனம்ச லத்த வண்டம்,கமட்டசவன்உணரச்சஅதரவுஉணரந்ஙகளஅதககவனமச லத்த வண்டம
என்ற அந்தகய ளப்படகறத வரம்பகற ய்என்றஎனக்கத்த ரயம்,என்ற அந்தகய ளப்படகறத வரமபகற யஎன்றஎனக்கத்த ரயம்
எல்லவற்றயம்பலவ உனக்க தரயம் அழகனஒரவற்றஆச்சரயம்பட்டகள்,எல்லவற்றியம்பல்வ உனக்க தியம் அழகனஒருவற்றஆச்சரயம்பட்டகள
நன்வ ற்றபற்றல் நன்இலவசமற்ற ம் தளவனநல்லஅவர,நனவ றற்பற்றல் நன்இலவசமறற ம தளவனநலல்லவர
பரங்கள் அவள்அப்படஇரக்க மடயம்என்றஎனக்கத்தரயம் சலநரங்களல்பட்ஒரஉண்மயன வல ஆனல்,பரங்கள் அவள்அப்படஇரக்க மடயம்என்றஎனக்கத்தரயம் சலநரங்களல்பட் ஒரஉண்மயன வல ஆனல்
என்னடம்இரக்கம்வர கண்கள் நன்அவற்றப்பயன்படத்தவன்,என்னடம் இரக்கம்வர கண்கள் நனஅவற்றப்பயன்படத்தவன
தன்னலமற்ற தன்மஎவ்வளவபரயதஎன்பதஇந்தபயணம் நரபக்கவல்ல ய,தன்னலமறை தனமஎவ்வவளவபரயத்எனபதஇந்தபயணம் நரபக்கவல்லை ய
அல்லதஅவள்என்னடம்ஏன்வஞ்சம்தீர்க்க நனக்கறள்,அல்லதஅவள்என்னடம்ஏன்வஞ்சம்த்ர்க்க நனக்கறள்
நன்என்னசல்கறன்என்றல் நன் அதஎன்தய்நன க்க றன்,நனஎன்னசல்கறனஎன்றல் நன் அதஎனதயநன க்க றன
பழப்பற்ககவளயட்டவளயடவத எவ்வளவகடனம்எனநீசல்லஆரம்பத்தல்,பமப்பாக்கவளயுட்டவளயடவக எவவளவகடனமனனரசலல்ஆரமபத்தல
யஸ்டர்டயன்தல்வயற்றஅணபஷரலல்சமண்டஸ்இறதப்பட்டயல்உள்ளத,பஸ்டர்டயனதலவயற்றஅண்பஷரலலசமணடஸ்இறதப்பட்டயல்உள்ளத
வத்தயசமனஅல்லதவழக்கத்தக்கமறன எதயவதபர்த்தீர்கள,வத்தயசமன்அல்லதவழக்கத்தக்கமறன எதயவதபரத்திர்கள
மற்றம்உங்கள்கழந்தகள்கழந்த கள் வலசய்யம் பதக்கப்படகன்றனர்,ர்ரம்உங்கள்க்டுந்த கள் வலச்யயம் பதக்கப்படகன்றனர
தடக்கத்தவட இப்பழத இந்த கப்பல் ரம்பஅழக்ககஉள்ளத,தடக்கத்தவட இப்பழத இந்த கப்பல் ரம்பஅழக்ககஉள்ளத
உங்களடன்ல ட வளயடஇந்தநரத்தல்அவள்இங்கஇல்ல என்றந ன்நம்பகறன்,உங்களடன்ல ட வளயடஇந்தநரத்தல்அவள்இங்கஇல்ல என்றந ன்நம்பகறன்
ஒரமனதனக்கசறகடங்கள் மற்றம்அவர்அத ஒரர ஜ்யமக்கவர்,ஒரமனத்தைக்கச்சிக்டங்கள் மற்றும்அவர்அத் ஒரு ஜயமக்கவர
மன்பதப்பக்கஏந்தயவர்கள்ஒரபலஸ்வன் கடத்தப்பட்டரந்தனர்,மன்பதப்பக்களந்தயவர்கள்ஒருபல்ஸ்வன கடத்தப்பட்டர்ந்தனர்.
நன்இவரடம்ஒரம தரத்தக்கடத்தல் அவர் எனக்கஒரவடகதயக்கடக்கறர்,நன்இவரடம்ஒரம தரத்தக்கடத்தல் அவர் எனக்கஒரவடகதயக்கடக்கறர்
இல்லயனல்நீங்கள்என்ற ன்றம்இல்லமல்பகம்வய்ப்பஇழக்க றீர்கள்,இல்லயனல்நீங்கள்என்ற ன்றம்இல்லமல்பகம்வய்ப்பஇழக்க றீர்கள்
எங்களைப் பொறுத்தவரை அது ஒரு சரணாலயம் வெளி உலக பீதியில் இருந்து பாதுகாப்பாக இருக்கிறது,எங்களைப் பொறுத்தவரை அது ஒரு சரணாலயம் வெளி உலக பீதியில் இருந்து பாதுகாப்பாக இருக்கிறது
நபந்தனஎன்னவனல் வளயஇர ப்பவற்ற நன்ப ர்க்கவம்ஒப்பக்கண்டள்ளன்,நபந்தன்ன்னவனல் வளயஇர பபவற்ற நனப ரக்கவமஒப்பக்கணடள்ளன
கறஸ்தமஸ்க்கஎங்க ஆர்டர்பண்ணலம் ஏன்னந ன்சம க்கல,கறஸதமஸககளங்க ஆரடர்பணண்லம் ஏன்னந னசம ககல
எர்ல் டக்சன்வடவமத்த பண்ட்எய்ட்இளம்பழப்பல்மட்டம்,எர்ல் டக்சன்வடவமத்த பண்ட்எய்ட்இளம்பழப்பல்மட்டம்
நீங்கள் கலயல்என்னஅழத்த ல் நன்என்னசய்யவண்ட ம்என்றஉங்களக்க சல்கறன்,ந்ங்கள் கலயல்என்னஅழுத்த ல் நன்னன்சயயவண்ட மஎன்றஉங்களக்க சலகறின்
உங்களக்ககநங்கசபரச சய்வம் ஆகயல்நீங்கள்அதச்சய்யஅவசயமல்ல,உங்களக்கக் நங்கசபரச் சயவம் ஆகயலநிங்களஅதசசயயப்அவசயமல்ல
இந்த கரஅற யல் கடதல்சத்தம்இப்பத இதச ர்க்கப்படவல்ல இல்ல ய,இந்த கரஅற யல் கடதல்சத்தம்இப்பத இதச ர்க்கப்படவல்ல இல்ல ய
எங்கள் தந்தஎதக்கண்டபடத்தர்என்றசன்ன ர் பர்க்களத்தல்உண்மயனநண்பர்கள்,ளங்கள் தந்துத்தக்கண்டபடத்தர்என்றசன்ன் ர பரக்களததல்உணமயன்நணபர்கள்
இப்பத நங்கள்உங்களக்கஉதவஇங்க ஆனல்நீங்கள்கட த்ததஎங்கள க்கஉதவம்,இப்பத நங்கள்உங்கள்க்கஉதவஇங்க ஆனல்நிங்கள்கட த்ததுஙங்கள் க்கஉதவம
மத்தரகள் மன்னண அழக ஆர க்கயம்மற்றம்மகவம் அதகம்பன்ற,மத்தரகள் மன்னண அழக ஆர க்கயமமறறம்மகவம் அதகமபன்ற
எங்கள் பழங்கடயனரன்இரப்படம்அவர்களக்கத்தரயம்என்றநம்பகறம்,ளங்கள் பழங்கடயனர்களும் படம்அவர்களக்கத்திரயமனைற்றி மாகற்ற
மற்றம்என் உறவ னர்கள் நீங்களம்உங்கள்உறவனர்களம்,\11)மஎன உறவ னர்கள் நிங்களம்உங்களஉரவனர்களம
ஏனன்றல்நன்இந்த நகரத்தல்உடல்நல சரயல்லமல்இரக்கறன் நன் மீண்டம்யனக்க சல்ல வரம்பகறன்,ஏனன்றல்நன்இந்த நகரத்தல்உடல்நல சரயல்லமல்இரக்கறன் நன் மீண்டம்யனக்க சல்ல வரம்பகறன்
அவர் உயிருடன் இருந்தால் நான் விரும்பினேன் அவரை ஆடுகளத்தை,அவர் உயிருடன் இருந்தால் நான் விரும்பினேன் அவரை ஆடுகளத்தை
நன்அவரடயமணஓவ யம்வ ங்கனன் பர்சன்ஸ்ஒண்ணகடவங்கல,நன்அவர்டயமண்ஒவ யமவ ங்கனன பரசனஸ்ஒண்ணகடவங்கல்
நன்ப கமடத்தற்கஎப்படப வத என்றஎனக்கத்தரயவல்ல,நீனப் கமடத்தற்களப்பட்ட வத என்றஎனக்கத்தரயவலல்
சஎங்களஇன்னரவலபர்க்கசன்னர்ன சகட்டசல்லடறன் சரய,ச்சாங்கள்இனனர்வலபரக்கசன்னரன சகட்டசல்லட்றன சரய
உங்கள் உடன் எந்தத் தடர்பம்கடய த உச்ச அளவகள் ம ர்கரட்ட,உங்கள் உடன் எந்தத் திடர்பம்கடய தூச்ச அளவுகள் ம் ரகரட்ட
கடவள நன்இபயல்வங்கயபலீஸன் வரடயவத்தசயல்பட்டன்,கடவள நனஇபயலவங்கயபல்ஸ்ன் வரடயவத்தசயல்பட்டன்
நீங்கள் நன்றககவனத்தக்கள்ள வண்டம்என்றநன்வ ரம்பக றன் இன்றரவஏர்ல் சரய,நீங்கள் நன்றக்கவனத்தக்கள் வண்டம்என்றநன்வ ரம்பக றன் இன்றரவஏர்ல் சரய
இப்பதநீ ஆர்வமகச்சய்ய ம்வஷயத்த ப் பற்றந ன்தர ந்தகள்ளவரம்பவ ல்ல,இப்பதந் ஆர்வமகச்சய்ய ம்வஷயத்த ப பறறந னதர நதகள்ளவரம்பவ லல
நீக்கத்தக்கனகர க்ககள்தவறன நரத்தல்சமர்ப்பக்கப்பட்டவ,ந்கதததகனகர கக்களதவறன நரததலசமரப்பக்கப்பட்டவ
நன்ஒரபக்கஅழத்ததபற்றலயஸ பம்ப்ரக்எவ்வளவவணலம்இளக்கட்ட ம்,
நீங்கள் அடத்தம ன்றமதங்களல்மலம்கழந்தகள்ச ரநர்வகக்கம டயம்,நங்கள் அடத்தம் னறமதங்களலமலமகழ்ந்தகளச ரநரவக்ககம் டயம்
நீ சக்தவய்ந்தவளனலம் இந்த பண்கள்தசப்தங்களக,நீ சக்தவய்ந்தவளனலம் இந்த பண்கள்தசப்தங்களக
பர்சயவகயப்படத்த கரக்கமன உற தயவலப்படத்தகன்றன,பரசயவகயப்படத்த கரக்கமன் உற தயவலப்படத்தகன்றன
நீங்கள் அனவரம்மீண்டம்சம்ப யன்களகவரவீர்கள்என்றநம்பக றன்,நங்கள் அனவரமம்ண்டமசமப யனகளகவரவர்கள்என்றுநம்பக றன
இம்மறஉலகன்கண்கள்வனல்ப ரகசக்க ம் நமதநகரத்தன்மீத இரக்கம்,இமமறஉலகனகணக்கிவனலப ரகசகக ம நமதநகரததனம்த இரக்கம
