reference,generated
உங்களக்கஎன்னமசம னநல நீங்க சல்லநன்கட்க இல்லதத,உங்களக்கஎன்னமசம னநல நீங்க சல்லநன்கட்க இல்லதத
உனக்கஏற்கனவநறய நண்பர்கள்இரக்கற ர்கள்என்பதசறப்பனவஷயம்,உனக்கஏற்கனவநறய நண்பர்கள்இரக்கற ர்கள்என்பதசறப்பனவஷயம்
ஏனன்றல்நம்பசவத பசவத பச வதஎன்றஎத யம்சய்வதல்ல,ஏனன்றல்நம்பசவத பசவத பச வதஎன்றஎத யம்சய்வதல்ல
அவங்கள வலயசய்யஅனப்ப ட்ட மச்சத்தநீ மட ச்சட,அவங்கள வலயசய்யஅனப்ப ட்ட மச்சத்தநீ மட ச்சட
தரம்பத்தரம்பஅவர்கள்இதய சய்கறர்கள் ஏனன ல்அநகவள்ளயர்கள்,தரம்பத்தரம்பஅவர்கள்இதய சய்கறர்கள் ஏனன ல்அநகவள்ளயர்கள்
களங்கள் நம்கட்ச வர்த்தகத்தத்ஒரவதயக்க ண்ட ரக்கவல்ல,களங்கள்நம்கட்ச வர்த்தகத்தத்ஒரவதயக்கண்ட ரக்கவல்ல
சலந மடங்களக்கமன் மரனவன் இளயக ழந்தயன்உடல் கண்ட படக்கப்பட்டத,சலந மடங்களக்கமன் மரனவன்
உன்னடயபத வலயல் சர்வதற்கமன்னல்உல்லசமகஇரக்க,உன்னடயபத வலயல் சர்வதற்கமன்னல்உல்லசமகஇரக்க
வறஞ பகத்தக்கவந்ததயல்லம் அந்த கவர்ல வச்சரக்கன்,வறஞ பகத்தக்கவந்ததயல்லம் அந்த கவர்ல வச்சரக்கன்
ஆனல்அந்தநள க்கப்பன் ய ரக்கம் டட்டவக்கஇடஞ்சல்கடக்கத ணவல்ல,ஆனல்அந்தநளக்கப்பன்ய ரக்கம் டட்டவக்கஇடஞ்சல்கடக்கத ணவல்ல
என் அம்மவன்தங்கஎன்ன டய அத்தயன்கணவரக்கஏதசன்னர்,என்
இவர் கற்றவளஇல்லஎன்ற பரந்தரயஎனக்கஅளக்கவ ண்டம்,இவர் கற்றவளஇல்லஎன்ற பரந்தரயஎனக்கஅளக்கவண்டம்
நீங்கள் களீவ்ஸ்ம ல்ஸ்பல ஸதடர்ப கண்டதல மஅதகர ரச்சர்ட்ஸடம்,நீங்கள் களீவ்ஸ்ம ல்ஸ்பல ஸதடர்ப கண்டதல மஅதகர ரச்சர்ட்ஸடம்
ஏய் தழர்கள உங்களக்கஒரபனம்எடத்தக்கள்ளங்கள் நங்கள்பன்னர்படக்கறம் சர,ஏய்தழர்கள உங்களக்கஒரபனம்எடத்தக்கள்ளங்கள் நங்கள்பன்னர்படக்கறம் சர
கடவக்கறயீட்டஉள்ள டவம் மகஐடக்கமலஸ்வப்சய்யவம்,கடவக்கறயீட்டஉள்ளடவம் மகஐடக்கமலஸ்வப்சய்யவம்
நன்த ன்சர யன் என்னச ற்றதன் எட்ட கள்கள ம்உள்ளன,நன்தன்சரயன் என்னசற்றதன் எட்ட கள்களம்உள்ளன
நன்ஒரவரத்தல்பறக்கண க்கப்பட்டன் இங்கம்அங்கம்,நன்ஒரவரத்தல்பறக்கணக்கப்பட்டன் இங்கம்அங்கம்
ஏய் மதலளபல் மற்ற ரமரத்தவர் கணமல்பனதமரத்த வமனயல்இரந்த,ஏய் மதலளபல் மற்ற ரமரத்தவர் கணமல்பனதமரத்த வமனயல்இரந்த
நீங்கள் சமகத்தற்கஒரஉதவசய்வீர்களஎன்றஆச்சரயப்படவக்கறத,நீங்கள் சமகத்தற்கஒரஉதவசய்வீர்களஎன்றஆச்சரயப்படவக்கறத
நன்உங்களக்கஒரபழ யபள்ளஏலப்ஒரமன்மயனஇடத்தஇரந்தததரயம்,நன்உங்களக்கஒரபழ யபள்ளஏலப்ஒரமன்மயனஇடத்தஇரந்தததரயம்
அவனக்கதவறகஅவள் சரயன்றல் பன் இரகசயமகஅவளடம்சல்ல ங்கள்,அவனக்கதவறகஅவள் சரயன்றல் பன் இரகசயமகஅவளடம்சல்ல ங்கள்
அவர் சம்மசனத்தவரம்பகறர் ஆனல்அவரடயத சகதரரன்பள்ளகள்அவரடய வழயல்நற்கறர்கள்,அவர் சம்மசனத்தவரம்பகறர் ஆனல்அவரடயத சகதரரன்பள்ளகள்அவரடய வழயல்நற்கறர்கள்
இதச ய்தமடக்கநமக்க மன்றமண நரம ம் நமடங்களம்உள்ளன,இதசய்தமடக்கநமக்க மன்றமணநரமம் நமடங்களம்உள்ளன
கட்டமற்றம்நன்ஏற்கனவ தட்டங்களத் தயரத்தக்கண்டரக்கறன்,கட்டமற்றம்நன்ஏற்கனவ தட்டங்களத் தயரத்தக்கண்டரக்கறன்
அமரக்கஏழவதகடற்பட யலரந்த பர்க்கப்பல்களஅன ப்பபதலள த்தத,அமரக்கஏழவதகடற்பட யலரந்த பர்க்கப்பல்களஅன ப்பபதலளத்தத
அவன் பறந்தவக நட்களகவல்ல அவன் வத்தயசமகஇரப்பதநன்உணர்வதற்க,அவன் பறந்தவக நட்களகவல்ல அவன் வத்தயசமகஇரப்பதநன்உணர்வதற்க
கர்டயம்நனம் உங்கள் டரய்லரகன்றலரந்தஇழக்கப்பக றம்,கர்டயம்நனம் உங்கள் டரய்லரகன்றலரந்தஇழக்கப்பகறம்
வய்வழபல யல்பலத்கரம்சய்தவன தனமம்நன வவக்கண மன,வய்வழபல யல்பலத்கரம்சய்தவனதனமம்நன வவக்கணமன
நம்அமயம்சலவ சதவீதம் எங்கள் நரம்அரங்கட்சயகங்கள்,நம்அமயம்சலவ சதவீதம் எங்கள் நரம்அரங்கட்சயகங்கள்
நீங்க இப்பதஅந்தபலீஸ்கரங்கள நறத்தப்பறீங்கள,நீங்க இப்பதஅந்தபலீஸ்கரங்களநறத்தப்பறீங்கள
நன்அவர்களதனப்பட்டமறயல் ஒரநண்பரக மதக்கவரம்பக றன்,நன்அவர்களதனப்பட்டமறயல் ஒரநண்பரக மதக்கவரம்பகறன்
இவ்வளவபணக்கரரகஇரப்பதஎப்படஎன்றஎனக்க ஆச்சர யமகஇரக்கறத,வ்வளவபணக்கரரகஇரப்பதஎப்படஎன்றஎனக்க ஆச்சர யமகஇரக்கறத
நன்த ரயம் என்ற டனஒர பரச்சனபதநம்நடகர்கள்அவள்,நன்த ரயம் என்ற டனலர பரச்சனபதநம்றடகர்கள்அவள்
மக்கள் நன்மதகர வகவம்கண்கள் வண்டம் சல்லஒரகரணம்இரக்கறத,மக்கள்நன்மதகர வகவம்கண்கள் வண்டம் சல்லலரகரணம்இரக்கறத
நட்வர்க்கஅணக யஅனத்த வரந்தனர்களன்பன்னணசதனகள்,நட்வர்க்கஅணக யஅனத்த வரந்தனர்களன்பன்னணசதனகள்
அந்த நரத்தல்நங்கள்எடத்தநடவடக்கதன் ஒரதலவரத்தர்ந்தடப்பத,அந்த நரத்தல்நங்கள்எடத்தநடவடக்கதன் ஒரதலவரத்தர்ந்தடப்பத
உன் நரயீரலல்இரக்கம்கற்ற நீ வளயவட்டவடவண்டம் இல்லஎன்றல்,உன்
மற்றம்எனக்கஒரஅவமனம் அனத்தகர க்கர்கள்அவமத ப்பதபல்உள்ளத,மற்றம்எனக்கஒரஅவமனம் அனத்தகரக்கர்கள்அவமத ப்பதபல்உள்ளத
அவர் என்னக லசய்யவரம்ப னர் ஆனல்நன்அவளபரட்ட னன்,அவர் என்னக லசய்யவரம்பனர் ஆனல்நன்அவளபரட்டனன்
நீ எப்படஉணர்றன்னசல்லணம்ன நனச்ச நல்லரக்கம்,நீ எப்படஉணர்றன்னசல்லணம்னநனச்ச நல்லரக்கம்
ஆண்டனவடன்தகவல்தடர்பகள நறவவதற்கனஒரசற யஅம ப்ப,ஆண்டனவடன்தகவல்தடர்பகள நறவவதற்கனஒரசற யஅம ப்ப
இன்னம் நம டங்களல் ஹப்பர்ல ஞ்ச்சய்யப்படம்எனநனக்கற ன்,ன்னம் நம டங்களல் ஹப்பர்ல ஞ்ச்சய்யப்படம்எனநனக்கறன்
நம்தடமறவதநறத்தலம் ஆனல்நீங்கள்அத கநரத்தபறவண்ட ம்,நம்தடமறவதநறத்தலம் ஆனல்நீங்கள்அத கநரத்தபறவண்டம்
அவள் அவனடம்ச ல்கறள் அந்த வயல்கள்எட த்தக்கள்ள,அவள் அவனடம்ச ல்கறள் அந்த வயல்கள்எடத்தக்கள்ள
இன்னக்கநீங்கஅங்கதண்ணீர்லபகம்பத ஜக்கரதயஇரப்பீங்கஇல்ல,ன்னக்கநீங்கஅங்கதண்ணீர்லபகம்பத ஜக்கரதயஇரப்பீங்கஇல்ல
நன்என்இரட்டச்சகதர அதஎன்னஇங்கத ன்என்றமகவம் அதர்ஷ்டசல மற்றம்உணர்கறன்,நன்என்இரட்டச்சகதர அதஎன்ன
உங்கள் வீடகளக்கத்தரம்பங்கள் உங்கள் கடம்பங்களமட,உங்கள் வீடகளக்கத்தரம்பங்கள் உங்கள் கடம்பங்களமட
உங்கள் ஸ்லீவ் வரச லஷக்ஸ்பயர்தந்தரங்களநீங்கள்ப ற்றள்ளீர்கள்என்றநன்நம்ப கறன்,உங்கள் ஸ்லீவ் வரச லஷக்ஸ்பயர்தந்தரங்களநீங்கள்பற்றள்ளீர்கள்என்றநன்நம்ப கறன்
தடர்ந்தஅம ரக்கப்படகள தரம்பப்பற்றக்கண்டரக்கன்றத,தடர்ந்தஅம ரக்கப்படகளதரம்பப்பற்றக்கண்டரக்கன்றத
அதஒரஇரகசயமகவத்தரப்பதகஅவர்எங்களக்கக்கற னர்,அதஒரஇரகசயமகவத்தரப்பதகஅவர்எங்களக்கக்கறனர்
மற்றம்ப யல்சதங்கள்பற்ற ய வவரங்கள்வந்தகண்டஇரக்கன்றன,மற்றம்ப யல்சதங்கள்பற்றய வவரங்கள்வந்தகண்டஇரக்கன்றன
நீங்கள் எதப்பற்றபசக றீர்கள்என்றஎனக்கத்த ரயவல்ல,நீங்கள் எதப்பற்றபசக றீர்கள்என்றஎனக்கத்த ரயவல்ல
என் மனவஒர மத்தஉள்ளத என் உள்ள அறமகம்சய்யமற்கத்தயமகவம்,என் மனவலர மத்தஉள்ளத என் உள்ள அறமகம்சய்யமற்கத்தயமகவம்
சல்வரஜ்அல வலகத்தல்கத்த ரக்கறத பலீஸ்மற்பர்வயளர்என்பவரன்,சல்வரஜ்அல வலகத்தல்கத்த ரக்கறத பலீஸ்மற்பர்வயளர்என்பவரன்
எனக்கச க்பீஸலபடம்படறவயசஇல்லன்ன என் அம்மச ல்றங்க,எனக்கச
நன்நீண்டநரம்இரக்கமட்டன் அவள்தங்க க்கண்டரப்பள் அவள் கடஅங்கஇரப்பதநீங்கள்மறந்தவடலம்,நன்நீண்டநரம்இரக்கமட்டன் அவள்தங்க க்கண்டரப்பள் அவள் கடஅங்கஇரப்பதநீங்கள்மறந்தவடலம்
பரம்பகழம்வணம்ன எந்தத்தட யம் பதயல்இல்லமபர்த்தக்கணம்,பரம்பகழம்வணம்ன எந்தத்தடயம் பதயல்இல்லமபர்த்தக்கணம்
ஆனல்நீங்கள்ஜம்பஸ்எல்லம்எங்கரந்தவரகறீர்கள்,ஆனல்நீங்கள்ஜம்பஸ்எல்லம்எங்கரந்தவரகறீர்கள்
அதனல்ந ன்வய தறக்கம் பதல்லம்அம்பலயடம்பசறன்,அதனல்ந ன்வயதறக்கம் பதல்லம்அம்பலயடம்பசறன்
உங்கள் மரமகள்ஒரகலஞர்என்ற என்னடம்ச ல்லவல்ல,உங்கள் மரமகள்ஒரகலஞர்என்ற என்னடம்ச ல்லவல்ல
இன்னம்அவர்கள்அட வனத்தல்நமக்க மன்னரம அளத்தனர்,ன்னம்அவர்கள்அட வனத்தல்நமக்க மன்னரம அளத்தனர்
இந்த சறயமற்றம்தன் பகறன்எங்களக்க ஆண்டகளக்கசலவகம்,இந்த சறயமற்றம்தன் பகறன்எங்களக்க ஆண்டகளக்கசலவகம்
கல்லரகளன்மனத்தக்கல்களடன்அவர் நளநீதமன்றத்தற்கசல்வர்,கல்லரகளன்மனத்தக்கல்களடன்அவர் நளநீதமன்றத்தற்கசல்வர்
இல்ல ந ன்உண்மயல்அவர்கள்கட்டன் கவர்ச்சகரமனவ,இல்லந ன்உண்மயல்அவர்கள்கட்டன் கவர்ச்சகரமனவ
ஆம்பலன்ஸ்வரஒர மணந ரமக ம் வய்னடம்ரண்டவழஇரந்தத,ஆம்பலன்ஸ்வரஒர மணந ரமகம் வய்னடம்ரண்டவழஇரந்தத
ஆனல்ப க்தத் நீங்கள்பர்ப ன்னர்ஒரபர்க்கங்கடயல்கறனர்,ஆனல்பக்தத் நீங்கள்பர்ப ன்னர்ஒரபர்க்கங்கடயல்கறனர்
என் கணவர் ஏன் கல்லப்பட்டர்என்பதஎனக்கத்தரயத,என் கணவர் ஏன்கல்லப்பட்டர்என்பதஎனக்கத்தரயத
இல்ல என்கழ ப்படத்தல்நீங்கள்என்னசய்கறீர்கள்,இல்ல என்கழ ப்படத்தல்நீங்கள்என்னசய்கறீர்கள்
என் மனவ ஜய அதடஆபத்தத ரஞ்சலம் என் மடவஆதரச்ச,என் மனவ ஜய அதடஆபத்தத ரஞ்சலம் என்மடவஆதரச்ச
சர உங்கள்நம்பக்கவலவகஇரந்தத ஆனல்உங்களக்கஆதரம் தவ,சர உங்கள்நம்பக்கவலவகஇரந்தத ஆனல்உங்களக்கஆதரம் தவ
நான் என்னுடைய இரண்டு நண்பர்கள் கொண்டுவர விரும்புகிறேன்,என்னுடைய இரண்டு நண்பர்கள் கொண்டுவர விரும்புகிறேன்
ஆனல்நம்மதகவலஇன்ன ம் அதகசத்தம்பட்டசல்கற ர்கள்,ஆனல்நம்மதகவலஇன்னம் அதகசத்தம்பட்டசல்கற ர்கள்
அமதக்கனஇந்தஅழப்பஏற்ற உங்களடபச க்கண்ட ரக்கயல்,அமதக்கனஇந்தஅழப்பஏற்ற உங்களடபச க்கண்டரக்கயல்
வயபரத்தமறந்தவட அவர்கள் இரவரம்அன த்தலம்பங்கள கள்,வயபரத்தமறந்தவட அவர்கள் இரவரம்அனத்தலம்பங்களகள்
ஆனல்ப ளரடவல்கடற்கர இல்லத ஒரநகரத்தத்தர்ந்தடத்தரக்கறய்,ஆனல்ப ளரடவல்கடற்கர இல்லத ஒரநகரத்தத்தர்ந்தடத்தரக்கறய்
இவ்வளவம க்கயமகஇரந்தம்நீங்கள் இதசரசய்தகள்ளதத எவ்வளவ,வ்வளவம
என்னடம்ச லவண்கப்பல்கள்இரக்கன்றன மதவகபறப்பவ,என்னடம்ச லவண்கப்பல்கள்இரக்கன்றன மதவகபறப்பவ
நீங்கள் படபயங்கரத்தவள வக்கம்சலமலம் கண்டபடக்கபகறம்,நீங்கள் படபயங்கரத்தவள வக்கம்சலமலம் கண்டபடக்கபகறம்
அதனல்தன்மற்றகழந்தகளநறயஇந்த நட்கள ல்உட த்த,அதனல்தன்மற்றகழந்தகளநறயஇந்த நட்களல்உடத்த
ஜயன்ப லவன்தயர் ஐந்தகழந்தகளக்கண்டரந்தர் அவர்கள் அனவரம்பண்கள்,ஜயன்ப லவன்தயர் ஐந்தகழந்தகளக்கண்டரந்தர் அவர்கள் அனவரம்பண்கள்
நான் உங்கள் இறப்பை ஏற்க்காவிட்டாலும் உங்களை தொந்தரவு செய்ய விரும்பவில்லை,நான் உங்கள் இறப்பை ஏற்க்காவிட்டாலும் உங்களை தொந்தரவு செய்ய விரும்பவில்லை
பத்தகக்கடயல்சல்லப்பரண தத்தடக்கம்சவய ஆரம்பக்கலம்,பத்தகக்கடயல்சல்லப்பரணதத்தடக்கம்சவய ஆரம்பக்கலம்
கமடட்சவன்உணர்ச்சஅதர்வஉணரநீங்கள்அதககவனம்ச லத்த வண்டம்,கமடட்சவன்உணர்ச்சஅதர்வஉணரநீங்கள்அதககவனம்ச லத்த வண்டம்
என்ற அந்தகய ளப்படகறத வரம்பகற ய்என்றஎனக்கத்த ரயம்,என்ற அந்தகய ளப்படகறத வரம்பகற ய்என்றஎனக்கத்த ரயம்
எல்லவற்றயம்பலவ உனக்க தரயம் அழகனஒரவற்றஆச்சரயம்பட்டகள்,எல்லவற்றயம்பலவ உனக்கதரயம் அழகனஒரவற்றஆச்சரயம்பட்டகள்
நன்வ ற்றபற்றல் நன்இலவசமற்ற ம் தளவனநல்லஅவர,நன்வற்றபற்றல் நன்இலவசமற்றம் தளவனநல்லஅவர
பரங்கள் அவள்அப்படஇரக்க மடயம்என்றஎனக்கத்தரயம் சலநரங்களல்பட்ஒரஉண்மயன வல ஆனல்,பரங்கள் அவள்அப்படஇரக்க மடயம்என்றஎனக்கத்தரயம் சலநரங்களல்பட்ஒரஉண்மயன வல ஆனல்
என்னடம்இரக்கம்வர கண்கள் நன்அவற்றப்பயன்படத்தவன்,என்னடம்இரக்கம்வர கண்கள் நன்அவற்றப்பயன்படத்தவன்
தன்னலமற்ற தன்மஎவ்வளவபரயதஎன்பதஇந்தபயணம் நரபக்கவல்ல ய,தன்னலமற்ற தன்மஎவ்வளவபரயதஎன்பதஇந்தபயணம் நரபக்கவல்ல ய
அல்லதஅவள்என்னடம்ஏன்வஞ்சம்தீர்க்க நனக்கறள்,அல்லதஅவள்என்னடம்ஏன்வஞ்சம்தீர்க்க நனக்கறள்
நன்என்னசல்கறன்என்றல் நன் அதஎன்தய்நன க்க றன்,நன்என்னசல்கறன்என்றல் நன் அதஎன்தய்நனக்கறன்
பழப்பற்ககவளயட்டவளயடவத எவ்வளவகடனம்எனநீசல்லஆரம்பத்தல்,பழப்பற்ககவளயட்டவளயடவத எவ்வளவகடனம்எனநீசல்லஆரம்பத்தல்
யஸ்டர்டயன்தல்வயற்றஅணபஷரலல்சமண்டஸ்இறதப்பட்டயல்உள்ளத,யஸ்டர்டயன்தல்வயற்றஅணபஷரலல்சமண்டஸ்
வத்தயசமனஅல்லதவழக்கத்தக்கமறன எதயவதபர்த்தீர்கள,வத்தயசமனஅல்லதவழக்கத்தக்கமறன எதயவதபர்த்தீர்கள
மற்றம்உங்கள்கழந்தகள்கழந்த கள் வலசய்யம் பதக்கப்படகன்றனர்,மற்றம்உங்கள்கழந்தகள்கழந்த கள்வலசய்யம் பதக்கப்படகன்றனர்
தடக்கத்தவட இப்பழத இந்த கப்பல் ரம்பஅழக்ககஉள்ளத,தடக்கத்தவட இப்பழத இந்த கப்பல் ரம்பஅழக்ககஉள்ளத
உங்களடன்ல ட வளயடஇந்தநரத்தல்அவள்இங்கஇல்ல என்றந ன்நம்பகறன்,உங்களடன்ல ட வளயடஇந்தநரத்தல்அவள்
ஒரமனதனக்கசறகடங்கள் மற்றம்அவர்அத ஒரர ஜ்யமக்கவர்,ஒரமனதனக்கசறகடங்கள் மற்றம்அவர்அத ஒரரஜ்யமக்கவர்
மன்பதப்பக்கஏந்தயவர்கள்ஒரபலஸ்வன் கடத்தப்பட்டரந்தனர்,மன்பதப்பக்கஏந்தயவர்கள்ஒரபலஸ்வன் கடத்தப்பட்டரந்தனர்
நன்இவரடம்ஒரம தரத்தக்கடத்தல் அவர் எனக்கஒரவடகதயக்கடக்கறர்,இவரடம்ஒரமதரத்தக்கடத்தல் அவர் எனக்கலரவடகதயக்கடக்கறர்
இல்லயனல்நீங்கள்என்ற ன்றம்இல்லமல்பகம்வய்ப்பஇழக்க றீர்கள்,ல்லயனல்நீங்கள்என்ற ன்றம்இல்லமல்பகம்வய்ப்பஇழக்கறீர்கள்
எங்களைப் பொறுத்தவரை அது ஒரு சரணாலயம் வெளி உலக பீதியில் இருந்து பாதுகாப்பாக இருக்கிறது,எங்களைப்
நபந்தனஎன்னவனல் வளயஇர ப்பவற்ற நன்ப ர்க்கவம்ஒப்பக்கண்டள்ளன்,நபந்தனஎன்னவனல் வளயஇரப்பவற்ற நன்ப ர்க்கவம்ஒப்பக்கண்டள்ளன்
கறஸ்தமஸ்க்கஎங்க ஆர்டர்பண்ணலம் ஏன்னந ன்சம க்கல,கறஸ்தமஸ்க்கஎங்க ஆர்டர்பண்ணலம் ஏன்னந ன்சமக்கல
எர்ல் டக்சன்வடவமத்த பண்ட்எய்ட்இளம்பழப்பல்மட்டம்,எர்ல் டக்சன்வடவமத்த பண்ட்எய்ட்இளம்பழப்பல்மட்டம்
நீங்கள் கலயல்என்னஅழத்த ல் நன்என்னசய்யவண்ட ம்என்றஉங்களக்க சல்கறன்,நீங்கள் கலயல்என்னஅழத்தல் நன்என்னசய்யவண்டம்என்றஉங்களக்க சல்கறன்
உங்களக்ககநங்கசபரச சய்வம் ஆகயல்நீங்கள்அதச்சய்யஅவசயமல்ல,உங்களக்ககநங்கசபரச சய்வம் ஆகயல்நீங்கள்அதச்சய்யஅவசயமல்ல
இந்த கரஅற யல் கடதல்சத்தம்இப்பத இதச ர்க்கப்படவல்ல இல்ல ய,இந்த கரஅறயல் கடதல்சத்தம்இப்பத இதச ர்க்கப்படவல்ல இல்ல ய
எங்கள் தந்தஎதக்கண்டபடத்தர்என்றசன்ன ர் பர்க்களத்தல்உண்மயனநண்பர்கள்,எங்கள்தந்தஎதக்கண்டபடத்தர்என்றசன்னர் பர்க்களத்தல்உண்மயனநண்பர்கள்
இப்பத நங்கள்உங்களக்கஉதவஇங்க ஆனல்நீங்கள்கட த்ததஎங்கள க்கஉதவம்,ப்பத நங்கள்உங்களக்கஉதவஇங்க ஆனல்நீங்கள்கடத்ததஎங்களக்கஉதவம்
மத்தரகள் மன்னண அழக ஆர க்கயம்மற்றம்மகவம் அதகம்பன்ற,மத்தரகள் மன்னண அழக ஆரக்கயம்மற்றம்மகவம் அதகம்பன்ற
எங்கள் பழங்கடயனரன்இரப்படம்அவர்களக்கத்தரயம்என்றநம்பகறம்,எங்கள் பழங்கடயனரன்இரப்படம்அவர்களக்கத்தரயம்என்றநம்பகறம்
மற்றம்என் உறவ னர்கள் நீங்களம்உங்கள்உறவனர்களம்,மற்றம்என் உறவ னர்கள் நீங்களம்உங்கள்உறவனர்களம்
ஏனன்றல்நன்இந்த நகரத்தல்உடல்நல சரயல்லமல்இரக்கறன் நன் மீண்டம்யனக்க சல்ல வரம்பகறன்,ஏனன்றல்நன்இந்த நகரத்தல்உடல்நல சரயல்லமல்இரக்கறன்
அவர் உயிருடன் இருந்தால் நான் விரும்பினேன் அவரை ஆடுகளத்தை,அவர் உயிருடன்
நன்அவரடயமணஓவ யம்வ ங்கனன் பர்சன்ஸ்ஒண்ணகடவங்கல,நன்அவரடயமணலவ யம்வ ங்கனன் பர்சன்ஸ்ஒண்ணகடவங்கல
நன்ப கமடத்தற்கஎப்படப வத என்றஎனக்கத்தரயவல்ல,நன்ப கமடத்தற்கஎப்படப வத என்றஎனக்கத்தரயவல்ல
சஎங்களஇன்னரவலபர்க்கசன்னர்ன சகட்டசல்லடறன் சரய,சஎங்கள
உங்கள் உடன் எந்தத் தடர்பம்கடய த உச்ச அளவகள் ம ர்கரட்ட,உங்கள் உடன் எந்தத் தடர்பம்கடயத உச்ச அளவகள் ம ர்கரட்ட
கடவள நன்இபயல்வங்கயபலீஸன் வரடயவத்தசயல்பட்டன்,கடவள
நீங்கள் நன்றககவனத்தக்கள்ள வண்டம்என்றநன்வ ரம்பக றன் இன்றரவஏர்ல் சரய,நீங்கள் நன்றககவனத்தக்கள்ள வண்டம்என்றநன்வ ரம்பகறன்
இப்பதநீ ஆர்வமகச்சய்ய ம்வஷயத்த ப் பற்றந ன்தர ந்தகள்ளவரம்பவ ல்ல,ப்பதநீ ஆர்வமகச்சய்ய ம்வஷயத்த ப் பற்றந ன்தரந்தகள்ளவரம்பவ ல்ல
நீக்கத்தக்கனகர க்ககள்தவறன நரத்தல்சமர்ப்பக்கப்பட்டவ,நீக்கத்தக்கனகர க்ககள்தவறன நரத்தல்சமர்ப்பக்கப்பட்டவ
நன்ஒரபக்கஅழத்ததபற்றலயஸ பம்ப்ரக்எவ்வளவவணலம்இளக்கட்ட ம்,நன்ஒரபக்கஅழத்ததபற்றலயஸ பம்ப்ரக்எவ்வளவவணலம்இளக்கட்டம்
நீங்கள் அடத்தம ன்றமதங்களல்மலம்கழந்தகள்ச ரநர்வகக்கம டயம்,நீங்கள் அடத்தம ன்றமதங்களல்மலம்கழந்தகள்ச ரநர்வகக்கம டயம்
நீ சக்தவய்ந்தவளனலம் இந்த பண்கள்தசப்தங்களக,நீ சக்தவய்ந்தவளனலம் இந்த பண்கள்தசப்தங்களக
பர்சயவகயப்படத்த கரக்கமன உற தயவலப்படத்தகன்றன,பர்சயவகயப்படத்த கரக்கமன உற தயவலப்படத்தகன்றன
நீங்கள் அனவரம்மீண்டம்சம்ப யன்களகவரவீர்கள்என்றநம்பக றன்,நீங்கள் அனவரம்மீண்டம்சம்ப யன்களகவரவீர்கள்என்றநம்பகறன்
இம்மறஉலகன்கண்கள்வனல்ப ரகசக்க ம் நமதநகரத்தன்மீத இரக்கம்,ம்மறஉலகன்கண்கள்வனல்ப ரகசக்கம் நமதநகரத்தன்மீத இரக்கம்
